bigram,count,PMI
nan curunír,5,16.53694835538174
caras galadhon,8,15.858876450269102
sammath naur,5,15.858876450269102
henneth annûn,8,15.688951448826788
rath dínen,8,15.688951448826788
ered lithui,5,15.688951448826788
parth galen,10,15.536948355381739
sarn gebir,9,15.273913949547945
cair andros,12,15.15843673212801
tol brandir,14,15.051521528211497
michel delving,13,15.051521528211497
ephel dúath,22,14.399444831631804
bagshot row,11,14.399444831631804
thou shalt,5,14.399444831631804
fatty lumpkin,5,14.125522109655273
amon hen,12,14.051521528211497
cirith gorgor,8,14.051521528211497
cirith ungol,20,13.981132200320099
fatty bolger,8,13.803594014767912
elbereth gilthoniel,6,13.729593433324135
